agent,task_per_agent,task_num,phi,recalc,task_success,ratio,time_ms
0,10,10,100.00000,0.00000,True,93.60000,0.93600,205.00000
1,20,10,200.00000,0.00000,True,184.60000,0.92300,961.80000
2,30,10,300.00000,0.00000,True,257.20000,0.85733,1935.80000
3,40,10,400.00000,0.00000,True,327.60000,0.81900,4052.60000
4,50,10,500.00000,0.00000,True,398.90000,0.79780,7628.10000
0,10,10,100.00000,0.10000,True,96.60000,0.96600,216.00000
1,20,10,200.00000,0.10000,True,192.70000,0.96350,1207.40000
2,30,10,300.00000,0.10000,True,286.80000,0.95600,2721.90000
3,40,10,400.00000,0.10000,True,373.70000,0.93425,5836.20000
4,50,10,500.00000,0.10000,True,448.20000,0.89640,10250.50000
0,10,10,100.00000,0.25000,True,99.50000,0.99500,249.20000
1,20,10,200.00000,0.25000,True,198.40000,0.99200,1314.60000
2,30,10,300.00000,0.25000,True,298.50000,0.99500,3184.30000
3,40,10,400.00000,0.25000,True,396.00000,0.99000,7530.50000
4,50,10,500.00000,0.25000,True,494.00000,0.98800,14239.40000
